10000022-8	Q696262
1000017-3	Q2822396
100001718	Q533022
1000021-5	Q338414
1000029-X	Q1205523
10000336-9	Q101262588
10000359-X	Q117312913
100003877	Q3396281
10000492X	Q1674153
1000054-9	Q334162
10000578-0	Q688353
10000596-2	Q1650436
1000060-4	Q334032
10000655-3	Q34417923
1000075-6	Q579326
100008135	Q55122178
1000083-5	Q2166029
100008569	Q2667383
1000093-8	Q463271
10000955-4	Q253771
100009670	Q380824
100011152	Q17180548
10001186-X	Q734764
1000125-6	Q2370801
100014321	Q21684999
100015999	Q1695345
100016510	Q62602017
100016642	Q78777
1000168-2	Q1792679
100017045	Q999874
10001757-5	Q129811472
100019382	Q3340050
100020666	Q43766336
100020739	Q1505257
10002078-1	Q1614026
10002085-9	Q701338
10002191-8	Q2139665
10002259-5	Q451205
10002382-4	Q193199
10002493-2	Q2597130
100025323	Q132873138
10002833-0	Q2415749
1000286-8	Q182542
1000293-5	Q2860422
1000299-6	Q537883
100029973	Q1016438
1000302-2	Q1421986
100031900	Q563316
10003233-3	Q1549302
10003392X	Q1449557
100034225	Q371688
100034438	Q792911
1000352-6	Q2588602
10003624-7	Q372657
10003916-9	Q2861815
100040268	Q3836359
10004106X	Q3262921
100041213	Q107695217
1000418-X	Q464915
100042473	Q55122192
10004303-3	Q894719
1000447-6	Q4743506
1000449-X	Q743648
100044921	Q94852411
100046800	Q53498372
10004698-8	Q1359068
1000478-6	Q4743305
100048552	Q3219052
10004862-6	Q1205634
10004989-8	Q636978
100049974	Q633468
1000503-1	Q62482056
100050395	Q1345319
1000505-5	Q433211
10005175-3	Q880898
100051960	Q19197317
100052223	Q1338519
100052312	Q3092386
100052517	Q623180
100053106	Q926243
100054315	Q1694090
10005447-X	Q61628900
100054781	Q1446043
100054927	Q1913924
1000559-6	Q3626639
100056083	Q1499547
1000564-X	Q3626582
10005661X	Q108812993
100056660	Q70937
10005689X	Q3164181
100057136	Q23661885
100057233	Q94899517
100057306	Q1730654
100059376	Q454469
10006046-8	Q2532186
100061591	Q202073
100061737	Q94852569
100061788	Q95634712
100062067	Q23531388
1000622-9	Q1736319
100062350	Q323489
100062776	Q3180563
1000628-X	Q812155
1000631-X	Q15646111
10006323-8	Q57981252
10006374-3	Q157316
100063934	Q1357738
10006440-1	Q1667786
10006857-1	Q27926439
10006882-0	Q2349005
10006883-2	Q186043
100069983	Q1632312
10007113-2	Q1885618
10007243-4	Q211620
100072488	Q94852593
10007255-0	Q176342
100074642	Q655807
100076262	Q2734012
100076378	Q965144
10007737-7	Q4819572
100077501	Q3260375
10007770-5	Q1792407
10007894X	Q1553851
10007934-9	Q871765
10007943-X	Q422412
10007960-X	Q100712425
100081940	Q94852721
10008213-0	Q5280589
100082505	Q825370
100083781	Q3132788
100086683	Q321426
10008741-3	Q27480237
100087515	Q3084301
10008807-7	Q1583731
10008839-9	Q2496316
10008860-0	Q28737484
100089003	Q694197
100089925	Q1571141
100092438	Q1539848
100093302	Q59286571
10009431-4	Q1508259
100095097	Q95238764
1000952-8	Q682827
1000959-0	Q1109213
100097928	Q16360865
100099076	Q95634714
100099459	Q61894
100099696	Q95238780
100100236	Q90485
100100465	Q560021
100100600	Q108080
100100716	Q94885404
100100848	Q132874311
10010164-1	Q1589174
100101844	Q21543450
100102840	Q1497665
100103979	Q1693158
10010486-1	Q687721
100105408	Q55835449
10010579-8	Q66086084
1001061-0	Q465308
100106137	Q1567935
100106587	Q94885426
100108253	Q17539511
100108431	Q55843684
100109551	Q21544980
10011037-X	Q1629070
10011070-8	Q40719909
10011176-2	Q49237735
100112269	Q3732389
100112439	Q1731218
100113842	Q95545
1001140-7	Q1132636
100114237	Q3164039
1001148-1	Q1316546
10011527-5	Q45405177
100115454	Q537012
100116450	Q129356
1001165-1	Q694711
100116523	Q101361
100116574	Q95794512
100118569	Q78749
100118623	Q1698005
10011881X	Q1085488
100119042	Q108814366
100119360	Q23560909
100119999	Q19210576
100120393	Q215682
100120490	Q94885591
100120784	Q15455023
100120849	Q96155
100121039	Q55122223
10012191-3	Q737536
100122434	Q78605
10012246-2	Q2063082
100122833	Q95238792
10012337-5	Q2895806
100123406	Q1928422
100123708	Q72938405
100123848	Q64464
10012396-X	Q195436
100124828	Q95007495
10012495X	Q1079235
100125077	Q15501864
100126030	Q55098583
100126146	Q60842951
10012653-4	Q540390
10012710X	Q12379208
10012714-9	Q1954642
100127401	Q33025918
1001281-3	Q3113011
10012822X	Q2755287
1001286-2	Q616591
100129048	Q1474526
100130046	Q94578189
100130313	Q95267
100130488	Q92345456
100130828	Q1262731
10013131X	Q1733403
100131603	Q52153982
100131751	Q94578027
100132170	Q64154
100132936	Q28933547
100133037	Q1439584
100133371	Q21544667
10013498X	Q1695543
100135846	Q1731059
100136605	Q2424634
10013675-8	Q15452771
10014151X	Q1641249
1001420-2	Q465330
100142028	Q1286796
100142044	Q1037985
100143369	Q131865875
100143539	Q55122241
10014451-2	Q829096
100144810	Q55673440
1001454-8	Q299015
100145965	Q47005273
100146562	Q55850952
100146694	Q97641
1001468-8	Q414115
1001473-1	Q1792159
1001476-7	Q207360
10014764-1	Q1241000
10014912X	Q132875258
10014960X	Q60223646
100149715	Q1080200
10014974X	Q105219
10015047-0	Q15783117
1001507-3	Q2239193
100150853	Q1991706
1001512-7	Q953058
100151310	Q60622
1001520-6	Q339759
1001527-9	Q2324325
100153860	Q1371528
1001540-1	Q856651
1001545-0	Q630461
100155324	Q1694100
100155499	Q21514487
1001564-4	Q256684
100156835	Q94788581
100157351	Q21544756
100157947	Q23561887
1001580-2	Q125566528
100158218	Q104570
100158250	Q24175920
100158463	Q96389
100158706	Q23561870
100158862	Q94506984
10015960-6	Q1802381
100160026	Q20172208
100160719	Q15700585
10016081-5	Q121598278
100160921	Q1695346
100161049	Q62392108
100162258	Q365392
100162371	Q21515690
100162878	Q105511
100164579	Q55874550
10016485-7	Q629082
100164994	Q28866105
100165206	Q20979926
100165346	Q94885657
100166326	Q106889
100166725	Q28914323
100166962	Q214744
10016806X	Q1730382
10016823X	Q15067023
100168337	Q55122255
100169171	Q115987777
100169252	Q216166
100169600	Q4217630
100169805	Q558167
10017020-1	Q812296
10017027-4	Q2043519
100170307	Q1496335
1001709-4	Q1419926
100171214	Q108813474
1001716-1	Q861141
10017173-4	Q1231433
10017230-1	Q28154531
100173217	Q214923
10017375-5	Q896341
10017460-7	Q1005513
100175473	Q17516066
100176410	Q28031303
10017689-6	Q315753
100177069	Q109832979
100177085	Q124208
1001774-4	Q325448
100178286	Q94887968
100178405	Q72682
100178626	Q26711870
1001800-1	Q6971937
10018006X	Q1706939
100180191	Q41768335
100180930	Q85333
10018197X	Q2526461
100185657	Q574368
1001857-8	Q567559
100185851	Q2834189
10018667-1	Q1727492
10018726-2	Q1824077
10018795-X	Q788505
100189555	Q123478
100189571	Q60835163
100190014	Q60866
100190723	Q94828689
100191290	Q43877
10019149-6	Q1954625
100191592	Q1239272
10019225-7	Q461277
100192742	Q1539113
100193587	Q118293
100193986	Q55909161
100195679	Q55909167
100197159	Q60816112
10019747-4	Q1137665
100197612	Q108813675
100198090	Q1706157
100198716	Q94888032
100199399	Q3417362
100200710	Q55063310
100200850	Q19309965
10020126-X	Q1865146
1002024-X	Q1435653
100202640	Q90925
1002029-9	Q3075566
1002030-5	Q3075695
100203086	Q55909154
100203221	Q1649591
1002036-6	Q1435690
100203604	Q30237392
100204783	Q5977632
1002049-4	Q3031850
100207081	Q55844850
100207359	Q1693164
100207669	Q24982149
100209041	Q598730
10020967X	Q18916825
100209874	Q20722247
100210406	Q55909187
100211070	Q55193184
100212433	Q108273
10021260-8	Q118487282
10021260-8	Q1408821
10021273-6	Q38515539
1002131-0	Q917874
100214347	Q95794634
100216498	Q132806236
100216536	Q21545286
100217281	Q107296
1002178-4	Q49123
10021780X	Q55909196
100219047	Q5109689
100219756	Q23936075
100219780	Q94871739
100220207	Q55909203
100220606	Q60843635
10022139-7	Q1792424
1002214-4	Q856423
100221750	Q132876737
10022203X	Q55909234
10022220X	Q55909186
100224156	Q969686
100224547	Q1706513
1002250-8	Q9531
100225748	Q15821356
100225799	Q94869433
1002269-7	Q111525586
100227627	Q55122289
100227651	Q55858775
100228003	Q66415
10022847-1	Q689829
1002285-5	Q656801
100228895	Q41617492
100229573	Q2960678
100229840	Q108814018
100230792	Q1544912
100231004	Q2055599
100231144	Q19844068
1002317-3	Q651690
100232469	Q1730465
100232515	Q215321
1002336-7	Q1109135
10023377-6	Q317528
100233791	Q110185
100234526	Q347261
10023493-8	Q1135732
100236456	Q3446354
100237932	Q3382673
100238238	Q3559770
1002384-7	Q1005163
100239811	Q2833944
100240283	Q1080199
100240445	Q707716
100240488	Q12365241
10024126-8	Q895596
100242146	Q70497
100242715	Q60840349
10024314-9	Q1147735
100243819	Q19510502
100244327	Q55859366
10024483-X	Q547951
10024498X	Q94888077
10024503X	Q88323
100245048	Q1463175
100245439	Q94788870
1002465-7	Q162222
10024663-1	Q1006216
100246982	Q321670
1002493-1	Q627510
10025078-6	Q1878943
10025102-X	Q878698
10025216-3	Q470487
100253520	Q1729176
10025424-X	Q2002420
10025459-7	Q1381217
100257712	Q3767355
100258239	Q1694225
10025849-9	Q1483375
100258921	Q22693502
100259723	Q79062
100260748	Q94989682
100260810	Q132877745
100260853	Q55914691
100261272	Q94889801
100261299	Q104152
100261779	Q1692584
100263690	Q5040893
100264913	Q1085810
100265219	Q55133153
100265464	Q55885771
100265820	Q825671
100265979	Q61431
100266193	Q1782466
10026669X	Q21415957
10026705X	Q1744260
100267270	Q94811366
100267904	Q90230
100268013	Q108052
100268021	Q1528178
100268498	Q19196693
100268579	Q1695466
100268714	Q102875
100268935	Q2370338
10026936-9	Q1058080
100269435	Q126759
10026995-3	Q59468
100270123	Q55673450
100271820	Q58211005
100272053	Q104482
100272924	Q55133159
10027327-0	Q90490414
100275648	Q55133162
100276318	Q92094
100277764	Q109833253
100278043	Q97068
1002800-6	Q195794
1002805-5	Q3661915
100281087	Q108811580
1002811-0	Q1574110
100281818	Q55892182
100283713	Q770183
10028517-X	Q2256489
1002858-4	Q209184
10028586-7	Q110467829
100286062	Q95777
1002871-7	Q1281302
10028888X	Q35984838
10028910-1	Q457233
100289452	Q95706
100289614	Q62262
100289843	Q21543959
100290094	Q503230
1002914-X	Q1202260
100291597	Q1696365
100291767	Q94889529
10029180-6	Q1525564
10029245-8	Q2564532
10029264X	Q3094498
100294375	Q55892205
1002947-3	Q289953
100294871	Q2572733
1002954-0	Q798038
1002956-4	Q318826
10029569X	Q98174
100296556	Q21543571
100298591	Q132281274
10029869-2	Q55038
10029887-4	Q2513896
100298990	Q3164607
100299059	Q2252953
100300359	Q55892246
100301177	Q55853364
100303188	Q94889537
100303501	Q27017076
100303854	Q94876438
100303935	Q21156171
10030396X	Q67312
100307051	Q19277251
1003071-2	Q20723139
100308023	Q214593
100308104	Q2938913
10030830-2	Q117857288
1003084-0	Q298006
10030850-8	Q1416531
100308805	Q1693176
100309038	Q1693900
100309283	Q15450534
100309658	Q59653330
100309674	Q13522622
100310281	Q84776
10031250-0	Q315161
100315275	Q1519211
100315399	Q1506651
100316794	Q19145346
100316875	Q19273384
100316921	Q55122328
100317146	Q55909028
100317278	Q68112
100317340	Q55133166
100317960	Q4352112
100318347	Q55845960
1003185-6	Q3052794
100319696	Q94764064
1003209-5	Q133266386
10032096-X	Q11786767
10032112-4	Q1428399
10032125-2	Q1577252
1003218-6	Q1979511
10032228X	Q108812895
100322689	Q21607154
10032455X	Q6071362
100324703	Q16319435
100325947	Q110167
10032722-9	Q58229319
100328547	Q94884022
1003288-5	Q531927
1003289-7	Q678331
10032900-7	Q41226008
100329578	Q19197263
1003296-4	Q948882
10032988-3	Q1573181
1003302-6	Q213678
1003311-7	Q3757708
1003317-8	Q1075126
1003319-1	Q214867
1003320-8	Q1068063
1003322-1	Q180788
100332390	Q94888101
1003324-5	Q430682
100332528	Q60843988
100333702	Q60844008
100334237	Q6170211
10033448-9	Q564960
100335101	Q4191414
1003374-9	Q309195
100337910	Q13604014
1003387-7	Q124816078
10033870-7	Q120679375
100339743	Q4195045
10034042-8	Q16830825
100341276	Q1908287
100341632	Q55133191
10034179-2	Q316207
100342337	Q1340818
10034289-9	Q874154
100343104	Q55122330
100346340	Q122561
1003465-1	Q1814654
1003467-5	Q238587
100347401	Q107185633
1003478-X	Q161549
1003482-1	Q1434864
100348289	Q112498841
1003491-2	Q273631
1003497-3	Q273542
100349854	Q94889736
100351190	Q15453217
10035182-7	Q48753455
10035228-5	Q11787008
100352952	Q123197
100353231	Q17352816
100353304	Q55122340
100354270	Q1695965
100354572	Q60844061
1003559-X	Q871581
100356486	Q1452175
100356877	Q88925
100357113	Q17362752
100357636	Q16747225
1003577-1	Q3181035
100358098	Q47482951
100358128	Q94832562
100358241	Q27051815
100359426	Q60844082
100359582	Q51884487
100359892	Q95248652
1003599-0	Q126955232
100360483	Q75373
100363105	Q71577
10036392X	Q94578142
1003650-7	Q811873
100366376	Q131865719
100367062	Q3784418
100368557	Q131043208
10036890-6	Q2524832
100369235	Q28076720
1003698-2	Q812310
100369979	Q92127
1003701-9	Q812518
100370381	Q89220
100370896	Q13880964
100371310	Q116870
100371922	Q13136993
10037195-4	Q1239986
100372546	Q60836828
100372694	Q94820765
100372724	Q15812050
100374794	Q21520308
10037515-7	Q96142416
100376789	Q107008626
100376924	Q1733642
10037784X	Q1470618
10037841-9	Q2421852
10037886-9	Q2000129
100379397	Q1259728
10038092-X	Q1238676
100381464	Q1657497
100381472	Q18916778
100382738	Q59628654
10038384X	Q1437750
100385702	Q6283257
1003858-9	Q100979937
10038635-0	Q524424
1003864-4	Q821530
10038641-6	Q1655099
100386504	Q60820370
1003867-X	Q574501
100387381	Q60844121
100387705	Q1539938
10039172-2	Q15837307
10039212-X	Q17521254
1003922-3	Q1313036
100392822	Q18957038
1003939-9	Q828616
1003945-4	Q30296530
100395015	Q55133212
10039535X	Q18628079
